;COUNTRY;SORT_ART_NR;ART_NAME;URL;Supplier;Suppl. product code;EAN;COMPETITOR;SKU_ID;SORT_EAN_NR;ART_NAME;PACKAGE_PRICE;UNIT_PRICE;PROMO_PRICE;QTY_FACTOR_PACKAGE_PRICE;URL;MATCH_TYPE_FLAG;QLTY_FACTOR_PACKAGE_PRICE;MATCH_SOURCE;MATCH_OWNER;CRAWLING_TIMESTAMP;COMMENTS
44;CZ;108637;Dulux Easy Care Mistrovské  plátno 2,5;;Akzo Nobel Coatings CZ,as;5273563;8590627987553;;;;;;;;;;;;;;;
45;CZ;108638;Dulux Easy Care Soumrak  2,5;;Akzo Nobel Coatings CZ,as;5273573;8590627987485;;;;;;;;;;;;;;;
46;CZ;108639;Dulux Easy Care Dotek  zimy 2,5;;Akzo Nobel Coatings CZ,as;5273543;8590627987690;;;;;;;;;;;;;;;
47;CZ;108640;Dulux Easy Care Popelavá  šeď 2,5;;Akzo Nobel Coatings CZ,as;5273581;8590627987447;;;;;;;;;;;;;;;
48;CZ;108641;Dulux Easy Care Sivá  holubice 2,5;;Akzo Nobel Coatings CZ,as;5273634;8590627987393;;;;;;;;;;;;;;;
49;CZ;108642;Dulux Easy Care Kovově  šedá 2,5;;Akzo Nobel Coatings CZ,as;5273636;8590627987379;;;;;;;;;;;;;;;
50;CZ;108643;Dulux Easy Care Grafit  2,5;;Akzo Nobel Coatings CZ,as;5273548;8590627987669;;;;;;;;;;;;;;;
51;CZ;108644;Dulux Easy Care Písečná  bouře 2,5;;Akzo Nobel Coatings CZ,as;5273565;8590627987539;;;;;;;;;;;;;;;
52;CZ;108645;Dulux Easy Care Béžový  kabát 2,5;;Akzo Nobel Coatings CZ,as;5273583;8590627987423;;;;;;;;;;;;;;;
53;CZ;108646;Dulux Easy Care Kávová  sušenka 2,5;;Akzo Nobel Coatings CZ,as;5273637;8590627987362;;;;;;;;;;;;;;;
54;CZ;108647;Dulux Easy Care Tvrdý  ořech 2,5;;Akzo Nobel Coatings CZ,as;5273557;8590627987591;;;;;;;;;;;;;;;
55;CZ;108648;Dulux Easy Care Čokoládový  dort 2,5;;Akzo Nobel Coatings CZ,as;5273544;8590627987683;;;;;;;;;;;;;;;
56;CZ;108649;Dulux Easy Care Lahodný  likér 2,5;;Akzo Nobel Coatings CZ,as;5273546;8590627987676;;;;;;;;;;;;;;;
57;CZ;108650;Dulux Easy Care Sklenka ša mpaňského 2,5;;Akzo Nobel Coatings CZ,as;5273584;8590627987416;;;;;;;;;;;;;;;
