;COUNTRY;SORT_ART_NR;ART_NAME;URL;Supplier;Suppl. Product code;EAN;COMPETITOR;SKU_ID;SORT_EAN_NR;ART_NAME;PACKAGE_PRICE;UNIT_PRICE;PROMO_PRICE;QTY_FACTOR_PACKAGE_PRICE;URL;MATCH_TYPE_FLAG;QLTY_FACTOR_PACKAGE_PRICE;MATCH_SOURCE;MATCH_OWNER;CRAWLING_TIMESTAMP;COMMENTS
47;CZ;442784;BaterieGP80;;EMOS spol. s r.o.;1032112050;4891199042966;;;;;;;;;;;;;;;
48;CZ;472913;Žár.stmívECO HAL.;;EMOS spol. s r.o.;1528161600;8595025373632;;;;;;;;;;;;;;;
49;CZ;472914;Žár.stmívECO HAL.;;EMOS spol. s r.o.;1528162800;8595025373663;;;;;;;;;;;;;;;
50;CZ;472915;Žárovkahalogenová;;EMOS spol. s r.o.;1527001200;8595025370921;;;;;;;;;;;;;;;
51;CZ;472917;Žárovkahalogenová;;EMOS spol. s r.o.;1527102300;8595025370952;;;;;;;;;;;;;;;
52;CZ;472918;Žárovkahalogenová;;EMOS spol. s r.o.;1528001600;8595025371010;;;;;;;;;;;;;;;
53;CZ;472919;Žárovkahalogenová;;EMOS spol. s r.o.;1527104000;8595025370983;;;;;;;;;;;;;;;
54;CZ;474039;Žárovkahalogenová;;EMOS spol. s r.o.;1528022800;8595025371133;;;;;;;;;;;;;;;
55;CZ;474043;Žárovka   halogenová;;EMOS spol. s r.o.;1528082800;8595025371430;;;;;;;;;;;;;;;
56;CZ;474044;Žárovkahalogenová;;EMOS spol. s r.o.;1528055300;8595025371348;;;;;;;;;;;;;;;
57;CZ;474045;Žárovkahalogenová;;EMOS spol. s r.o.;1528084200;8595025371461;;;;;;;;;;;;;;;
58;CZ;474046;Žárovkahalogenová;;EMOS spol. s r.o.;1528054200;8595025371317;;;;;;;;;;;;;;;
59;CZ;509055;Bulkhead  12W IP65;;EMOS spol. s r.o.;1539032060;8592920014288;;;;;;;;;;;;;;;
60;CZ;509056;Bulkhead  12W IP65;;EMOS spol. s r.o.;1539032080;8592920014325;;;;;;;;;;;;;;;
61;CZ;509395;ŽárovkaHAL.ECO;;EMOS spol. s r.o.;1528114200;8595025371553;;;;;;;;;;;;;;;
