;COUNTRY;SORT_ART_NR;ART_NAME;URL;Supplier;Suppl. Product code;EAN;COMPETITOR;SKU_ID;SORT_EAN_NR;ART_NAME;PACKAGE_PRICE;UNIT_PRICE;PROMO_PRICE;QTY_FACTOR_PACKAGE_PRICE;URL;MATCH_TYPE_FLAG;QLTY_FACTOR_PACKAGE_PRICE;MATCH_SOURCE;MATCH_OWNER;CRAWLING_TIMESTAMP;COMMENTS
66;CZ;3136793;Šroubení   pozink.                          3/4;;Guvex;105412;8590391105412;Hornbach;4281132;;"Šroubení č.330, 3/4"" pozink";46;46;;1;;1;;;;;
68;CZ;3136801;Šroubení   pozink.                          1;;Guvex;105429;8590391105429;Hornbach;4279736;;"Šroubení č.330, 1"" pozink";65;65;;1;;1;;;;;
70;CZ;3136827;Vsuvka     pozink.                          1x3/4;;Guvex;105580;8590391105580;Hornbach;4281143;;"Redukční vsuvka č.245, 1""-3/4"" pozink";28;28;;1;;1;;;;;
72;CZ;3136942;Koleno     PPR        45                    25;;Guvex;180051;8590391180051;Hornbach;4203323;;PPR koleno 45⁰ 25;9.2;9.2;;1;;1;;;;;
74;CZ;3136983;Nátrubek   PPR                              32;;Guvex;180242;8590391180242;Hornbach;4203342;;PPR nátrubek 32;7.6;7.6;;1;;1;;;;;
76;CZ;3136991;Redukce    PPR        vni/vně               25x20;;Guvex;180259;8590391180259;Hornbach;4203343;;PPR redukce 25/20;8.1;8.1;;1;;1;;;;;
78;CZ;3137023;Nátrubek   PPR        redukovaný            25x20;;Guvex;180280;8590391180280;Hornbach;4203346;;PPR redukční nátrubek 25/20;8.2;8.2;;1;;1;;;;;
80;CZ;3137064;Záslepka   PPR                              25;;Guvex;180358;8590391180358;Hornbach;4203353;;PPR záslepka 25;6.9;6.9;;1;;1;;;;;
82;CZ;3137098;Koleno     DG         PPR        MZV        20x3/4;;Guvex;180556;8590391180556;Hornbach;4203373;;"PPR koleno 90⁰ závit vnější 20x3/4""";93;93;;1;;1;;;;;
84;CZ;3137106;Koleno     DG         PPR        MZV        25x3/4;;Guvex;180570;8590391180570;Hornbach;4203375;;"PPR koleno 90⁰ závit vnější 25x3/4""";94;94;;1;;1;;;;;
86;CZ;3137114;Koleno     DG         PPR        MZV        32x1;;Guvex;180594;8590391180594;Hornbach;4203377;;"PPR koleno 90⁰ závit vnější 32x1""";159;159;;1;;1;;;;;
88;CZ;3137148;Koleno     DG         PPR        MZD        25x3/4;;Guvex;180631;8590391180631;Hornbach;4203381;;"PPR koleno 90⁰ závit vnitřní 25x3/4""";76;76;;1;;1;;;;;
90;CZ;3137155;Koleno     DG         PPR        MZD        32x1;;Guvex;180655;8590391180655;Hornbach;4203383;;"PPR koleno 90⁰ závit vnitřní 32x1""";140;140;;1;;1;;;;;
92;CZ;3137247;Koleno     PPR        90                    32;;Guvex;180099;8590391180099;Hornbach;4203327;;PPR koleno 90⁰ 32;9;9;;1;;1;;;;;
94;CZ;3137262;T-kus      PPR                              25;;Guvex;180112;8590391180112;Hornbach;4203329;;PPR T kus 25 T;6.5;6.5;;1;;1;;;;;
96;CZ;3137288;T-kus      PPR        redukovaný            25x20x25;;Guvex;180143;8590391180143;Hornbach;4203332;;PPR T kus redukce 25x20x25 mm;9.2;9.2;;1;;1;;;;;
98;CZ;3137395;Přechod    PPR        DG         MZD        20x3/4;;Guvex;180495;8590391180495;Hornbach;4203367;;"PPR DG přechodka MZD 20x3/4""";58;58;;1;;1;;;;;
100;CZ;3137429;T-kus      PPR        MZD                   25x1/2x25;;Guvex;180730;8590391180730;Hornbach;4203391;;"PPR T kus vnitřní závit 25x1/2""";54;54;;1;;1;;;;;
102;CZ;3137452;Nástěnka   PPR        MZD                   25x3/4;;Guvex;180808;8590391180808;Hornbach;4203398;;"PPR nástěnka vnitřní závit 25x3/4""";63;63;;1;;1;;;;;
104;CZ;3137619;Oblouk     Cu         90                    15;;Guvex;200223;8590391200223;Hornbach;5104631;;Oblouk 90 AA 5002A 15 mm, měď, hrdlo na obou stranách;8.5;8.5;;1;;1;;;;;
106;CZ;3137627;Oblouk     Cu         90                    18;;Guvex;200230;8590391200230;Hornbach;5104634;;Oblouk 90 AA 5002A 18 mm, měď, hrdlo na obou stranách;12;12;;1;;1;;;;;
108;CZ;3137635;Oblouk     Cu         90                    22;;Guvex;200247;8590391200247;Hornbach;5104640;;Oblouk 90 AA 5002A 22 mm, měď, hrdlo na obou stranách;19.9;19.9;;1;;1;;;;;
110;CZ;3137676;T-kus      Cu                               15;;Guvex;200667;8590391200667;Hornbach;5104976;;T kus 5130 15 mm, měď;10.5;10.5;;1;;1;;;;;
112;CZ;3137684;T-kus      Cu                               18;;Guvex;200674;8590391200674;Hornbach;5104977;;T kus 5130 18 mm, měď;19.5;19.5;;1;;1;;;;;
114;CZ;3137692;T-kus      Cu                               22;;Guvex;200681;8590391200681;Hornbach;5104978;;T kus 5130 22 mm, měď;35.5;35.5;;1;;1;;;;;
116;CZ;3137791;Příchytka  PPR        jednoduchá            25;;Guvex;180952;8590391180952;Hornbach;4203413;;PPR plastová příchytka trubky 25 jednoduchá;4.4;4.4;;1;;1;;;;;
118;CZ;3137809;Příchytka  PPR        dvojitá               2x20;;Guvex;180969;8590391180969;Hornbach;4203414;;PPR plastová příchytka trubky 20 dvojitá;5.9;5.9;;1;;1;;;;;
120;CZ;3137965;Koleno     Cu         90                    15;;Guvex;200520;8590391200520;Hornbach;5104922;;Koleno 90 AA 5090 15 mm, měď, hrdlo na obou stranách;7.8;7.8;;1;;1;;;;;
122;CZ;3137973;Koleno     Cu         90                    18;;Guvex;200537;8590391200537;Hornbach;5104934;;Koleno 90 AA 5090 18 mm, měď, hrdlo na obou stranách;9.5;9.5;;1;;1;;;;;
124;CZ;3137981;Koleno     Cu         90                    22;;Guvex;200544;8590391200544;Hornbach;5104937;;Koleno 90 AA 5090 22 mm, měď, hrdlo na obou stranách;16.9;16.9;;1;;1;;;;;
126;CZ;3138088;Nátrubek   Cu                               22;;Guvex;201046;8590391201046;Hornbach;5105072;;Nátrubek 5270 22 mm, měď, hrdlo na obou stranách;9.8;9.8;;1;;1;;;;;
128;CZ;3138120;Přechod    Cu         4243G                 15-1/2;;Guvex;201213;8590391201213;Hornbach;5105116;;"Přechod 4243G 15-1/2"", měď, vnější závit";13.5;13.5;;1;;1;;;;;
130;CZ;3138179;Přechod    Cu         4243G                 22-3/4;;Guvex;201268;8590391201268;Hornbach;5105121;;"Přechod 4243G 22-3/4"", měď, vnější závit";24;24;;1;;1;;;;;
132;CZ;3138278;Přechodka  Pex-Al     vnější                1/2x16;;Guvex;205150;8590391205150;Hornbach;5189756;;"AL-PEX přechod vnější M1/2""x16 šroubovací";75;75;;1;;1;;;;;
134;CZ;3138450;T-kus      Pex-Al                           16x16x16;;Guvex;205259;8590391205259;Hornbach;5189766;;AL-PEX T-kus 16x16x16 - šroubovací;99;99;;1;;1;;;;;
136;CZ;3138674;Křížení    PPR        PN20                  20;;Guvex;206843;8590391206843;Hornbach;5142882;;PPR-křížení 20x3,5 PN20;22;22;;1;;1;;;;;
138;CZ;3138740;Trubka     Pex-Al                           20x2;;Guvex;205129;8590391205129;Hornbach;7924489;;AL-PEX trubka ø 20x2 mm, v kole;34;34;;1;;1;;;;;
140;CZ;3146388;Objímka    trubky     dvoušroub  40-46      5/4;;Guvex;101063;8590391101063;Hornbach;4202754;;"Dvoušroubový úchyt 5/4"" 40 - 46mm";19;19;;1;;1;;;;;
142;CZ;3146396;Objímka    trubky     dvoušroub  48-53      6/4;;Guvex;101070;8590391101070;Hornbach;4202756;;"Dvoušroubový úchyt 6/4"" 48 - 53mm";19;19;;1;;1;;;;;
144;CZ;3146495;Prodloužen koupelnové            3/4 x 1/2  75mm;;Guvex;140642;8590391140642;Hornbach;5053874;;Prodloužení koupelnové 75 mm mosaz;109;109;;1;;2;;;;;
146;CZ;3146503;Prodloužen koupelnové            3/4 x 1/2  95mm;;Guvex;140659;8590391140659;Hornbach;5053875;;Prodloužení koupelnové 95 mm mosaz;119;119;;1;;2;;;;;
148;CZ;3146529;Objímka    trubky     jednošroub 20-23      1/2;;Guvex;101162;8590391101162;Hornbach;4202775;;"Jednošroubový úchyt 1/2""";14;14;;1;;1;;;;;
150;CZ;3146537;Objímka    trubky     jednošroub 25-30      3/4;;Guvex;101179;8590391101179;Hornbach;4202777;;"Jednošroubový úchyt 3/4""";14;14;;1;;1;;;;;
152;CZ;3146545;Objímka    trubky     jednošroub 31-38      1;;Guvex;101186;8590391101186;Hornbach;4202779;;"Jednošroubový úchyt 1""";15;15;;1;;1;;;;;
154;CZ;3146552;Šroub      kombi      2ks                   M8 x 80;;Guvex;101216;8590391101216;Hornbach;4233388;;Kombi šroub M8x80 2 ks;10;10;;1;;1;;;;;
156;CZ;3205184;Šroubení   Cu                               15-1/2;;Guvex;201299;8590391201299;Hornbach;5105185;;"Šroubení 4331G 15-1/2"", měď, vnější závit";104;104;;1;;1;;;;;
158;CZ;3220639;Šroubení   mosaz      přímé                 1;;Guvex;1 PŘÍMÉ;8590391207154;Hornbach;5240158;;"Šroubení k radiátoru přímé 1""";254;254;;1;;3;;;;;
160;CZ;3313566;Třmen      opravný    16bar                 1;;Guvex;210413;8590391210413;Hornbach;5211866;;"Opravná objímka 1"" 16bar";259;259;;1;;1;;;;;
162;CZ;3538881;Hadice     Flexi      Nerez       1/2x1/2x50;;Guvex;102435;8590391102435;Hornbach;4298203;;"Flexibilní hadice M1/2""xŠ1/2"" 50 cm nerez";54;54;;1;;3;;;;;
164;CZ;3538899;Hadice     Flexi      Nerez       1/2x1/2x50;;Guvex;102442;8590391102442;Hornbach;4298199;;"Flexibilní hadice M1/2""xM1/2"" 50 cm nerez";51;51;;1;;3;;;;;
166;CZ;3538956;Hadice     Flexi      Nerez       3/8x1/2x30;;Guvex;102589;8590391102589;Hornbach;4298213;;"Flexibilní hadice M3/8""xM1/2"" 30 cm nerez";42;42;;1;;5;;;;;
168;CZ;3538964;Hadice     Flexi      Nerez       1/2x1/2x30;;Guvex;102596;8590391102596;Hornbach;4298201;;"Flexibilní hadice M1/2""xŠ1/2"" 30 cm nerez";47;47;;1;;3;;;;;
170;CZ;3538972;Hadice     Flexi      Nerez       3/8x3/8x30;;Guvex;102619;8590391102619;Hornbach;4298184;;"Flexibilní hadice M3/8""xM3/8"" 40 cm nerez";47;47;;1;;3;;;;;
172;CZ;3538998;Hadice     Flexi      Nerez       1/2x1/2x30;;Guvex;102640;8590391102640;Hornbach;4298197;;"Flexibilní hadice M1/2""xM1/2"" 30 cm nerez";44;44;;1;;5;;;;;
